"";"Sample_name";"D0";"D1";"sd.D1";"D2";"sd.D2";"Evenness";"Organisation";"CV"
"LOW_F08_15_t5_5000x.fcs";"LOW_F08_15_t5_5000x.fcs";13668;4964,8745683191;44,4985288628351;3279,5154013082;47,4367316717791;0,272714219472034;0,0763187207843446;178,054250660539
"LOW_F09_16_t1_5000x.fcs";"LOW_F09_16_t1_5000x.fcs";11286;3953,21279266738;33,8422687219614;2582,36335058326;45,2575911174606;0,262777343086112;0,0714276908258273;184,079362624929
"LOW_F09_16_t5_5000x.fcs";"LOW_F09_16_t5_5000x.fcs";12870;4191,85018810616;45,6621735962136;2651,59857833879;34,5132422528935;0,246343774891434;0,0691010899745166;196,088459024965
"LOW_F09_39_t1_5000x.fcs";"LOW_F09_39_t1_5000x.fcs";14351;5418,79010458344;32,933140324335;3474,31535694801;44,8306546644834;0,284853528674014;0,0749428939042701;177,217219355506
"LOW_F09_39_t5_5000x.fcs";"LOW_F09_39_t5_5000x.fcs";13369;4824,79179328686;46,2308019545329;3108,44968437665;52,1341553656983;0,269950382012063;0,0677573802778592;181,701770954749
"LOW_F10_16_t1_5000x.fcs";"LOW_F10_16_t1_5000x.fcs";11926;4255,2737577373;44,1249485790355;2836,99912287108;39,2871934265902;0,266703158960863;0,068615961884019;179,336595400502
"LOW_F10_16_t5_5000x.fcs";"LOW_F10_16_t5_5000x.fcs";12170;4087,29195881276;34,5794117675763;2692,53833939472;33,5358678450452;0,252678066081492;0,0765113122303926;188,038190933612
"LOW_F10_39_t1_5000x.fcs";"LOW_F10_39_t1_5000x.fcs";14240;5688,16399051469;36,7923660491998;3943,02794330898;62,9007712026664;0,296252224968132;0,0741579944135842;161,671736972552
"LOW_F10_39_t5_5000x.fcs";"LOW_F10_39_t5_5000x.fcs";14491;4624,06246971683;42,3244448439883;2856,69700517089;33,2977882934266;0,242533885536225;0,0675067133228704;202,160799411643
"LOW_F11_16_t1_5000x.fcs";"LOW_F11_16_t1_5000x.fcs";11336;3928,9003568474;35,4586769891956;2521,47613683886;48,0728202885912;0,261852797565383;0,0702189657894435;187,182594538273
"LOW_F11_16_t5_5000x.fcs";"LOW_F11_16_t5_5000x.fcs";11885;4203,64096886801;29,807428330008;2794,90016621419;31,5139616288365;0,265370818865881;0,075972783559455;180,389300605845
"LOW_F11_39_t1_5000x.fcs";"LOW_F11_39_t1_5000x.fcs";14095;5398,74578716491;56,2613304170052;3420,00595941018;48,7228071603281;0,289147038947547;0,0691864587748392;176,093214757643
"LOW_F11_39_t5_5000x.fcs";"LOW_F11_39_t5_5000x.fcs";13927;4985,20254717536;43,7311266808737;3181,93081255258;36,8640857690652;0,268630346778891;0,0670403684849984;183,578203955327
"LOW_F12_16_t1_5000x.fcs";"LOW_F12_16_t1_5000x.fcs";12033;4208,63173091762;41,5956732647994;2743,73988296332;47,7914823297933;0,261129987869022;0,0687630186686603;183,443477123028
"LOW_F12_16_t5_5000x.fcs";"LOW_F12_16_t5_5000x.fcs";12759;4141,03492396804;44,9791394441367;2673,71066520883;38,5235696150875;0,244185381499775;0,0742016890121332;194,092152129018
